,census_tract_code,year,arrests_B,arrests_W,arrests_total,state,county,ct_pop,ct_white,ct_black,pct_white,pct_black,b_arr_pct_total,w_arr_pct_total,tot_arr_pct_total,tot_arr_pct_co_pop,w_arr_pct_co_pop,b_arr_pct_co_pop,w_arr_pct_w_pop,b_arr_pct_b_pop,rTot,rB,rW,eTot,eB,eW,sir_total,sir_black,sir_white,total_effects,white_effects,black_effects
17,10200,2017,167,131,298,37,129,3603,1995,1331,0.553705246,0.369414377,56.0550151,43.97853069,100,8.270655824,3.635758097,4.634897727,6.566086913,12.54601457,0.03416607,0.016395397,0.017582894,123.2003487,21.9222736,35.17787443,2.418824324,7.617822999,3.72393165,2.16815545,1.62677144,3.38625339
18,10200,2018,203,120,324,37,129,3503,1958,1329,0.558949472,0.379389095,62.66584388,37.05646405,100,9.248950929,3.425537381,5.794867403,6.128389766,15.27349334,0.03416607,0.016395397,0.017582894,119.7837417,21.8894828,34.52730734,2.704874597,9.273860046,3.475509944,1.3415656,1.03546809,1.69945357
19,10300,2010,253,103,358,37,129,5104,2345,2622,0.459443574,0.513714734,70.6785814,28.79084055,100,7.013969162,2.017985541,4.956799436,4.392136796,9.648754815,0.03416607,0.016395397,0.017582894,174.4836191,43.08873131,41.33188749,2.051768538,5.871604763,2.492022655,1.03862238,0.84334096,1.91869952
20,10300,2011,375,156,535,37,129,5040,2199,2699,0.436309524,0.535515873,70.09904691,29.17211736,100,10.61486875,3.095176683,7.440328565,7.093811105,13.89352006,0.03416607,0.016395397,0.017582894,172.2969906,44.35117689,38.7647849,3.105103566,8.455243497,4.024271008,0.12230094,0.16885735,0.1173289
21,10300,2012,391,196,587,37,129,4821,2246,2427,0.465878448,0.503422526,66.61556805,33.40146483,100,12.17564456,4.065462239,8.110182324,8.726236588,16.10976062,0.03416607,0.016395397,0.017582894,164.8146214,39.89162887,39.59118094,3.561577214,9.80155514,4.950597465,0.06108495,0.05698076,0.11646156
22,10300,2013,470,140,612,37,129,5419,2204,3050,0.406717106,0.562834471,76.80117628,22.88841693,100,11.2933882,2.583454817,8.673026886,6.35179892,15.40933084,0.03416607,0.016395397,0.017582894,185.245931,50.10596129,38.85269937,3.303716291,9.380121405,3.603353236,1.78425966,1.77500646,1.49865434
23,10300,2014,346,115,461,37,129,4882,2175,2620,0.445514134,0.536665301,75.05963999,24.96204728,100,9.442657873,2.355543721,7.087114152,5.287113236,13.20560284,0.03416607,0.016395397,0.017582894,166.8987516,43.05594052,38.34279544,2.762153674,8.036057181,2.99925967,1.05697465,1.12440279,0.10929257
24,10300,2015,325,150,477,37,129,5161,2398,2669,0.464638636,0.51714784,68.14085097,31.46090966,100,9.242215807,2.906357172,6.297107206,6.254951837,12.17638904,0.03416607,0.016395397,0.017582894,176.431085,43.85931498,42.2637809,2.703605206,7.410056454,3.549138217,0.1131205,0.14770451,0.34099774
25,10300,2016,397,131,536,37,129,5703,2812,2786,0.493073821,0.488514817,74.07200149,24.45439284,100,9.398397363,2.29699637,6.961126405,4.658440312,14.24930907,0.03416607,0.016395397,0.017582894,194.9490947,45.77757644,49.5430992,2.749435696,8.672368239,2.644162398,0.20601217,0.21485769,0.92160677
26,10300,2017,321,129,454,37,129,5635,2589,2962,0.459449867,0.525643301,70.71129707,28.42986126,100,8.056644957,2.289222906,5.696438395,4.982426326,10.83690625,0.03416607,0.016395397,0.017582894,192.625802,48.66316634,45.62211374,2.356901283,6.596364851,2.827576134,9.48624884,6.84427906,14.11991086
27,10300,2018,378,128,513,37,129,5902,2715,3137,0.460013555,0.531514741,73.68933931,24.96589359,100,8.691821555,2.168719608,6.404500093,4.714375161,12.04934494,0.03416607,0.016395397,0.017582894,201.7481426,51.53236084,47.83755844,2.542774339,7.335196638,2.675721842,1.11438997,1.19852432,2.69463107
28,10400,2010,93,140,233,37,129,2786,2372,225,0.851399856,0.080760948,39.93993994,60.1029601,100,8.362944618,5.024945264,3.337999354,5.901943426,41.31497112,0.03416607,0.016395397,0.017582894,95.28666982,3.788964357,41.80662564,2.44525284,24.54496565,3.348751492,28.88475103,33.7343983,15.12407585
29,10400,2011,76,104,184,37,129,2726,2342,235,0.859134263,0.086206897,41.33623031,56.54535578,100,6.749568981,3.814973772,2.787865449,4.440459417,32.3266695,0.03416607,0.016395397,0.017582894,93.23670564,3.952918329,41.27913881,1.9734717,19.2263016,2.519432406,4.43993096,4.3123957,2.02994574
30,10400,2012,58,78,137,37,129,2819,2565,190,0.909897127,0.067399787,42.3778264,56.96571845,100,4.859706999,2.766840481,2.057394204,3.040817122,30.51025776,0.03416607,0.016395397,0.017582894,96.41415011,3.215125457,45.20012427,1.420953251,18.0397315,1.725658972,0.13874652,0.17869849,0.2847146
31,10400,2013,49,96,148,37,129,3033,2802,176,0.923837784,0.058028355,33.15327481,64.88858879,100,4.879496225,3.165078632,1.615508885,3.426001927,27.82509938,0.03416607,0.016395397,0.017582894,103.725689,2.985589897,49.36727026,1.426840365,16.412167,1.944608229,3.70127202,3.82920103,2.51176666
32,10400,2014,43,77,123,37,129,3061,2789,208,0.91114015,0.06795165,35.01218522,62.6320065,100,4.018163405,2.515435628,1.404723792,2.760747194,20.66314272,0.03416607,0.016395397,0.017582894,104.6823389,3.510242606,49.13869263,1.174983299,12.24986556,1.566993257,3.92624123,3.76269206,56.99562149
33,10400,2015,56,141,197,37,129,2934,2647,222,0.902181322,0.075664622,28.46270928,71.58802638,100,6.714154255,4.805562183,1.908592073,5.326583809,25.21386763,0.03416607,0.016395397,0.017582894,100.3432481,3.739778166,46.64192162,1.963261143,14.97415021,3.023031537,0.54617257,0.89933754,0.11972924
34,10400,2016,45,98,144,37,129,2857,2593,198,0.90759538,0.069303465,31.29770992,68.0777238,100,5.040075601,3.430051451,1.575023625,3.779260345,22.7158001,0.03416607,0.016395397,0.017582894,97.71246076,3.346288635,45.69244532,1.473711734,13.44773417,2.144774685,1.58557499,1.42952177,1.08359667
35,10400,2017,42,32,74,37,129,3073,2672,214,0.869508623,0.069638789,56.81511471,43.31983806,100,2.40799193,1.041293808,1.366698122,1.197559972,19.6170014,0.03416607,0.016395397,0.017582894,105.0923318,3.608614989,47.08149398,0.704142717,11.63881437,0.67967257,0.92229118,1.07532348,0.98906798
36,10400,2018,46,57,103,37,129,3031,2584,256,0.852523919,0.084460574,44.71387003,55.38312318,100,3.398106298,1.880505427,1.517600871,2.205796989,17.9617337,0.03416607,0.016395397,0.017582894,103.6573569,4.297221669,45.53419927,0.993658368,10.70459091,1.251806355,2.3627324,2.49015525,3.09154683
37,10501,2010,232,244,476,37,129,3431,2103,1079,0.612940834,0.314485573,48.75026255,51.27074144,100,13.87310192,7.111421993,6.761679928,11.60192097,21.49939765,0.03416607,0.016395397,0.017582894,117.3237847,17.79063352,37.07682703,4.057148355,13.0405699,6.58092991,0.40245723,0.51167773,0.30361634
38,10501,2011,192,310,502,37,129,3970,2159,1518,0.543828715,0.382367758,38.25931089,61.76060546,100,12.64451777,7.808367547,4.836150223,14.35783428,12.64738818,0.03416607,0.016395397,0.017582894,135.7392962,24.98821286,38.06146912,3.698265824,7.683622716,8.144719769,0.13010438,0.16283039,0.24837175
